nombre,url,notas_salida,notas_corazon,notas_fondo,clima_primavera,clima_verano,clima_otono,clima_invierno,clima_dia,clima_noche,genero,familia_olfativa,descripcion,ocasiones,colecciones,imagen_path
Sauvage,,Bergamota|Pimienta,Lavanda|Pimienta|Geranio,Ambroxan|Cedro|Ámbar Gris,8,7,6,5,9,7,Hombre,,Fragancia fresca y amaderada con un carácter viril y moderno. Combina notas cítricas y aromáticas con un fondo intenso y duradero.,Día|Noche,,
Bleu de Chanel,,Toronja|Limón|Menta|Pimienta Rosa,Jengibre|Nuez Moscada|Jazmín|Iso E Super,Incienso|Cedro|Vetiver|Sándalo|Pachulí|Ládano|Almizcle Blanco,1,1,1,1,1,1,Hombre,,Fragancia fresca y moderna con un toque aromático y amaderado. Combina notas cítricas y especiadas con un fondo profundo y sensual.,Día|Noche,,
Acqua di Gio,,Pomelo|Naranja|Limón|Jazmín,Jazmín|Lirio|Romero,Pachulí|Sándalo|Ámbar Gris,1,1,0,0,1,0,Hombre,,"Fragancia fresca y acuática inspirada en el mar, con notas cítricas y herbales que evocan libertad y pureza.",Día|Noche,,
1 Million,,mandarina|pomelo|menta,rosa|canela|especias,cuero|ámbar|patchouli|madera de gaiac,0,0,1,1,0,1,Hombre,,Perfume masculino intenso y seductor con un carácter fresco y especiado. Ideal para hombres que buscan un aroma poderoso y distintivo.,Noche,,
Invictus,,Pomelo|Mandarina|Notas marinas,Jazmín|Hoja de laurel,Ámbar gris|Madera de gaiac|Musgo de roble|Patchouli,8,9,6,4,9,7,Hombre,,"Invictus es una fragancia fresca y deportiva que combina notas marinas con acordes amaderados y ambarinos, ideal para hombres dinámicos y seguros.",Día|Noche,,
Eros,,Menta|Manzana verde|Limón italiano,Tonka|Ambroxan|Geranio,Vainilla|Vetiver|Musgo de roble|Cedro,1,1,1,1,1,1,Hombre,,Eros de Versace es una fragancia fresca y vibrante que combina notas cítricas y aromáticas con un fondo cálido y amaderado.,Día|Noche,,
212 VIP Men,,Lima|Caviar,Menta|Pimienta negra|Vodka,Amapola|Ámbar|Madera de ámbar,0,0,0,1,0,1,Hombre,,212 VIP Men de Carolina Herrera es una fragancia Oriental Vainilla para hombres. Es una fragancia nueva. 212 VIP Men se lanzó en 2011.,Noche,,
Bad Boy,,Bergamota|Pimienta negra|Pimienta blanca,Salvia esclarea|Cedro,Frijol tonka|Cacao|Ámbar gris,0,0,1,1,0,1,Hombre,,Bad Boy es una fragancia masculina que combina notas especiadas y aromáticas con un fondo cálido y sensual.,Noche,,
Le Male,,Lavanda|Menta|Albahaca,Vainilla|Haba de Tonka|Canela,Sándalo|Cedro|Almizcle,7,6,8,9,7,9,Hombre,,"Le Male es un perfume icónico que combina notas frescas y especiadas con un fondo cálido y sensual, creando una fragancia masculina y atractiva.",Día|Noche,,
Ultra Male,,Pera|Lavanda|Bergamota|Menta|Bergamota,Canela|Comino|Sándalo,Vainilla negra|Ámbar,0,0,0,1,0,1,Hombre,,Una fragancia intensa y seductora que combina notas frutales con un corazón especiado y un fondo amaderado.,Noche,,
Stronger With You,,Cardamomo|Azúcar|Mandarina,Hojas de violeta|Salvia,Cedro|Frijol tonka|Praliné|Miel,7,5,8,9,7,9,Hombre,,"Aroma cálido y dulce con un toque especiado, ideal para un hombre moderno y seductor.",Día|Noche,,
Boss Bottled,,Manzana|Bergamota|Limón|Naranja,Canela|Clavel|Geranio,Sándalo|Pachulí|Almizcle|Vetiver|Ámbar,1,1,1,1,1,1,Hombre,,"Fragancia fresca y elegante con notas frutales y especiadas, ideal para el uso diario.",Día|Noche,,
Light Blue Pour Homme,,Bergamota|Mandarina siciliana|Pomelo|Junípero,Romero|Pimiento rosa|Rosa,Incienso|Almizcle|Musgo de roble|Sándalo,10,10,5,0,10,0,Hombre,,Agua de colonia fresca y vibrante con notas cítricas y acuosas que evocan la brisa del Mediterráneo.,Día,,
Dylan Blue,,Bergamota|Pomelo|Agua|Hoja de higuera|Pimienta|Hoja de violeta,Ambroxan|Papiro|Pachulí|Pétalos de loto|Rosa|Jazmín,Incienso|Musc|Tonka|Sándalo|Vainilla|Almizcle,1,1,1,1,1,1,Hombre,,Aroma fresco y moderno con un toque acuático y amaderado. Ideal para el hombre contemporáneo que busca un perfume versátil y duradero.,Día|Noche,,
Explorer,,Bergamota|Salvia esclarea|Hoja de violeta,Pachulí|Cuero|Madera de cachemira,Ámbar|Madera de cachemira|Madera de gaiac|Musgo de roble,1,1,1,1,1,1,Hombre,,Explorer de Montblanc es una fragancia fresca y aventurera que combina notas aromáticas y amaderadas para un espíritu explorador.,Día|Noche,,
Legend,,Bergamota|Lavanda|Piña|Bergamota (Calabria),Geranio|Jazmín|Manzana roja|Rosa,Sándalo|Tonka|Musgo de roble|Pomelo (Toronja)|Evernyl,8,7,9,8,8,9,Hombre,,"Legend de Montblanc es una fragancia masculina que combina frescura aromática con calidez amaderada, ideal para el hombre moderno y seguro.",Día|Noche,,
Polo Blue,,Melón|Pepino|Mandarina,Albahaca|Salvia|Geranio,Sándalo|Almizcle|Ámbar,1,1,0,0,1,0,Hombre,,"Aroma fresco y limpio inspirado en el aire libre, con notas acuáticas y amaderadas.",Día|Noche,,
